recipe_urls,recipe_title,ingredients,ingredients_parsed
https://www.jamieoliver.com/recipes/rice-recipes/vivid-green-risotto/,Vivid green risotto,"['180 g mixed seasonal greens , such as kale, cavolo nero, swiss chard, spinach, broccoli', '1.8 litres organic vegetable stock', '3 tablespoons extra virgin olive oil', '70 g Parmesan cheese , plus extra to serve', '2 sticks of celery', '1 onion', '2 small knobs of unsalted butter', '400 g risotto rice', '½ a bunch of fresh thyme or marjoram , (15g)', '125 ml white wine', '½ a lemon']",seasonal cavolo swiss broccoli vegetable stock parmesan cheese celery onion butter risotto rice marjoram wine lemon
https://www.jamieoliver.com/recipes/rice-recipes/katsu-style-tofu-rice-bowl/,Katsu-style tofu rice bowls,"['450 g firm tofu', '½ teaspoon ground turmeric', '2 tablespoons white miso', 'rice vinegar', 'mirin', '300 g short grain brown rice', '60 g breadcrumbs', '40 g sesame seeds', 'olive oil', '½ teaspoon curry powder', '2 tablespoons mango chutney', '½ a pineapple', '2 fresh red chillies', '4 spring onions', '400 g mixed crunchy veg , such as carrots, sugar snaps, cucumber, cabbage', '½ a bunch of fresh coriander , (15g)', 'hot chilli sauce , to serve']",tofu miso rice mirin short rice sesame curry mango chutney pineapple onion crunchy veg sugar cabbage
https://www.jamieoliver.com/recipes/vegetable-recipes/roasted-sweet-potato-burrito/,Roasted sweet potato burrito,"['2 medium sweet potatoes , (600g)', 'olive oil', '2 cloves of garlic', '½ a teaspoon of sweet smoked paprika', '½ a teaspoon of ground cumin', '1 x 400 g tin of black beans', '150 g long grain rice', '200 g spinach', '6 spring onions', '100 g sliced pickled jalapeños', '½ a bunch of fresh coriander , (15g)', '4 wholemeal tortillas', '4 tablespoons diary-free yoghurt', '1-2 limes']",potato garlic bean rice spinach onion pickled jalapeno wholemeal tortilla diary yoghurt lime
https://www.jamieoliver.com/recipes/pasta-recipes/cheats-squash-pasta/,Cheat's squash pasta,"['1 butternut squash , (1.2kg)', '1 ciabatta roll , (85g)', '½ a bunch of fresh thyme or rosemary , (15g)', '1 clove of garlic', 'olive oil', '500 g fresh lasagne sheets', '50 g Parmesan cheese , plus extra to serve', 'extra virgin olive oil', 'chilli oil , optional']",butternut squash ciabatta roll garlic lasagne sheet parmesan cheese
https://www.jamieoliver.com/recipes/bread-recipes/homemade-bagels/,Homemade bagels,"['750 g strong white bread flour', '1 x 7g sachet of instant yeast', '3 teaspoons soft brown sugar', '2 teaspoons fine sea salt', '1 teaspoon bicarbonate of soda', '1 large free-range egg', '2 tablespoons sesame, poppy, pumpkin or sunflower seeds , (optional)']",strong bread flour sachet instant yeast sugar bicarbonate egg pumpkin sunflower
https://www.jamieoliver.com/recipes/vegetable-recipes/quiche/,Quiche,"['250 g plain flour , plus extra for dusting', '125 g cold unsalted butter', 'olive oil', '800 g butternut squash or mixed mushrooms', '1 onion', '4 cloves of garlic', '6 large free-range eggs', '100 ml single cream', '100 g Cheddar cheese', ""50 g crumbly goat's cheese"", '2 sprigs of thyme']",flour butter butternut squash mushroom onion garlic egg single cream cheddar cheese crumbly cheese
https://www.jamieoliver.com/recipes/cabbage-recipes/red-cabbage/,Red cabbage,"['¼ of a red cabbage , (250g)', '½ a bunch of coriander or mint , (15g)', '1 lime', '1 orange', 'extra virgin olive oil']",cabbage lime orange
https://www.jamieoliver.com/recipes/sides-and-sauces-recipes/apricot-sauce/,Apricot sauce,"['½ a bunch of thyme , (10g)', '125 g dried apricots', '½ a small fresh red chilli', 'extra virgin olive oil']",apricot
https://www.jamieoliver.com/recipes/vegetable-recipes/dressed-beans/,Dressed beans,"['1.2 kg mixed green and runner beans', '2 cloves of garlic', 'extra virgin olive oil', 'red wine vinegar']",runner bean garlic wine
https://www.jamieoliver.com/recipes/vegetable-recipes/whole-baked-red-onions/,Whole baked red onions,"['4 large red onions , skin on', 'olive oil , for brushing', 'flaky sea salt , to finish', 'FOR THE DRESSING', '80 g walnuts , (2¾ oz)', '10 sage leaves , rolled up and cut into really thin strips', '1 tablespoon honey', '2 tablespoons white wine vinegar', '2 tablespoons boiling water', '1 teaspoon mild chilli flakes', '½ teaspoon salt', 'a little freshly ground black pepper', '3 tablespoons olive oil', 'a few sprigs of mint , leaves picked (about 15 g / ½ oz)']",onion brushing flaky finish walnut rolled up really wine
https://www.jamieoliver.com/recipes/fruit-recipes/pina-colada-ice-lollies/,Piña colada ice lollies,"['½ a ripe pineapple , (400g)', '1 x 160 g tin coconut cream', '1 teaspoon runny honey', '1 lime', '160 ml coconut rum']",pineapple coconut cream lime coconut rum
https://www.jamieoliver.com/recipes/new-potatoes-recipes/jersey-royal-taleggio-tart/,Jersey Royal & taleggio tart,"['1 onion', '2 knobs of unsalted butter', '200 g Jersey Royals', '1 x 320 g pack of ready-rolled puff pastry', '2 sprigs of rosemary', '100 g taleggio cheese']",onion butter jersey royal pack ready rolled puff pastry taleggio cheese
https://www.jamieoliver.com/recipes/vegetarian-recipes/speedy-quiche-traybake/,Speedy quiche traybake,"['olive oil', '6 medium free-range eggs', '1 bunch of spring onions', '55 g mature Cheddar cheese', '1 large courgette', '300 g broccoli', '1 x 250 g pack of ready-rolled filo pastry']",egg onion mature cheddar cheese courgette broccoli pack ready rolled filo pastry
https://www.jamieoliver.com/recipes/pizza-recipes/pizza-twister-bread/,Pizza twister bread,"['500 g strong bread flour , plus extra for dusting', '1 x 7 g sachet of dried yeast', 'olive oil', 'extra virgin olive oil', 'balsamic vinegar', '½ a bunch of basil , (15g)', '150 g mixed-colour cherry tomatoes', '1 courgette', '8 to 10 black olives , (stone in)', '100 g red pesto', '1 x 125 g ball of mozzarella cheese']",strong bread flour sachet yeast tomato courgette pesto ball mozzarella cheese
https://www.jamieoliver.com/recipes/sweets-and-desserts-recipes/scrumptious-sticky-toffee-pudding/,Scrumptious sticky toffee pudding,"['2 Earl Grey tea bags', '200 g fresh Medjool dates', '1 level teaspoon ground cinnamon', '1 level teaspoon ground ginger', '1 whole nutmeg , for grating', '250 g leftover cooked pumpkin or butternut squash', '170 g unsalted butter , plus extra for greasing (at room temperature)', '340 g self-raising flour , plus extra for dusting', '170 g golden caster sugar', '170 g dark muscovado sugar', '4 large free-range eggs', 'Maldon sea salt', 'CARAMEL SAUCE', '250 g unsalted butter', '125 g dark muscovado sugar', '125 g golden caster sugar', '50 ml dark rum', '300 ml double cream']",earl grey tea bag medjool date pumpkin butternut squash butter greasing self raising flour golden caster sugar muscovado sugar egg maldon caramel butter muscovado sugar golden caster sugar rum double cream
https://www.jamieoliver.com/recipes/halloumi-recipes/halloumi-skewers/,Halloumi skewers,"['2 small cloves of garlic', '1 lemon', '4 ripe peaches', 'extra virgin olive oil', '1 teaspoon dried oregano, ideally the flowering kind', '2 x 225 g blocks of halloumi', '300 g sourdough bread', '½ a bunch of fresh flat-leaf parsley (15g)', '2 tablespoons shelled unsalted pistachios', '1 tablespoon runny honey']",garlic lemon peach ideally flowering kind block halloumi sourdough bread pistachio
https://www.jamieoliver.com/recipes/peppers-recipes/sticky-miso-peppers/,Sticky miso peppers,"['1 x 220 g tin of pineapple rings in juice', '280 g extra firm tofu', '2 mixed-colour peppers', 'olive oil', '4 spring onions', '4 cloves of garlic', '90 g rice vermicelli noodles', '20 g wasabi peas', '2 heaped teaspoons red miso paste']",pineapple ring tofu onion garlic rice vermicelli noodle wasabi pea miso paste
https://www.jamieoliver.com/recipes/egg-recipes/sunshine-egg-salad/,Sunshine egg salad,"['2 tablespoons dukkah', '1 x 250 g packet of mixed cooked grains', '½ x 460 g jar of roasted red peppers', '200 g baby spinach', '4 large free-range eggs', '½ a pomegranate', '2 heaped tablespoons natural yoghurt']",dukkah packet spinach egg pomegranate yoghurt
https://www.jamieoliver.com/recipes/aubergine-recipes/roasted-aubergine-laksa/,Roasted aubergine laksa,"['6 large aubergines , (400g each)', 'olive oil', 'red wine vinegar', '6 heaped teaspoons massaman curry paste', '60 g honey roasted cashew nuts', '6 spring onions', '6 cm piece of ginger', '1 x 400 g tin of light coconut milk', '1 litre organic veg or chicken stock', '450 g free-range egg noodles']",aubergine wine massaman curry paste cashew onion coconut milk veg chicken stock egg noodle
https://www.jamieoliver.com/recipes/bread-recipes/buddy-s-super-quick-flatbreads/,Buddy's super-quick flatbreads,"['100 g self-raising flour , plus extra for dusting', '4 tablespoons Greek yoghurt', 'unsalted butter , to serve']",self raising flour greek yoghurt butter
https://www.jamieoliver.com/recipes/broccoli-recipes/broccoli-cheese-pierogi/,Broccoli & cheese pierogi,"['100 g self-raising flour , plus extra for dusting', '1 large free-range egg', '1 head of broccoli , (375g)', '25 g Cheddar cheese', '½ a bunch of chives , (10g)', '1 tablespoon soured cream', '2 cloves of garlic', 'olive oil', '1 x 400 g tin of quality cherry tomatoes']",self raising flour egg broccoli cheddar cheese chive soured cream garlic tomato
https://www.jamieoliver.com/recipes/bread-recipes/rye-bread-scones/,Rye bread scones,"['olive oil', '500 g natural yoghurt', '250 g stoneground rye flour', '250 g self-raising flour , plus extra for dusting', '1 heaped teaspoon bicarbonate soda', '1 teaspoon runny honey', '2 large free-range eggs', '3 tablespoons organic jumbo oats']",yoghurt stoneground rye flour self raising flour bicarbonate egg jumbo oat
https://www.jamieoliver.com/recipes/pickle-recipes/easy-homemade-pickle/,Easy homemade pickle,"['400 g crunchy veg , such as radishes, carrots, red onion, cauliflower, cucumber', '250 ml vinegar , such as white wine, red wine or cider', '1 tablespoon sea salt', '1 tablespoon caster sugar', 'fresh dill , optional', 'mustard seeds , optional']",crunchy veg cucumber wine caster sugar
https://www.jamieoliver.com/recipes/flour-recipes/sourdough-crackers/,Sourdough crackers,"['100 g rye or wholemeal flour', '1 teaspoon runny honey', '75 g mature sourdough starter', 'sesame, fennel or caraway seeds , optional']",rye wholemeal flour mature sourdough starter caraway
https://www.jamieoliver.com/recipes/cake-recipes/simnel-cake/,Simnel cake,"['175 g butter', '175 g soft light brown sugar', '1 lemon', '1 orange', '175 g flour', '2 teaspoons baking powder', '50 g ground almonds', '½ teaspoon each ground cinnamon, ginger and nutmeg', '3 large free-range eggs', '1 tablespoon milk', '150 g raisins', '100 g currants or sultanas', '100 g glacé cherries, sour cherries or dried cranberries', '100 g mixed peel', '3 tablespoons apricot jam', 'icing sugar , for dusting', '350 g marzipan', 'cinnamon , for dusting (optional)']",butter sugar lemon orange flour each egg milk raisin currant sultana glace cranberry peel apricot jam icing sugar marzipan
https://www.jamieoliver.com/recipes/soup-recipes/minestrone-soup/,Minestrone soup,"['1 clove of garlic', '2 small onions', 'olive oil', '2 fresh bay leaves', '2 carrots', '2 sticks of celery', '2 large handfuls of seasonal greens, such as savoy cabbage, curly kale, chard', '1 vegetable stock cube', '1 x 400 g tin of plum tomatoes', '2 x 400 g tins of beans, such as cannellini, butter, or mixed', '100 g dried pasta', 'Parmesan cheese , Grana Padano or vegetarian alternative, to serve', 'extra virgin olive oil', 'crusty bread , to serve']",garlic onion carrot celery seasonal savoy curly chard vegetable stock plum tomato pasta parmesan cheese grana padano vegetarian crusty bread
https://www.jamieoliver.com/recipes/breakfast-recipes/buddys-one-cup-pancakes/,Buddy’s one-cup pancakes,"['Pancakes', '1 cup of self-raising flour', '1 cup of semi-skimmed milk', '1 large free-range egg', 'unsalted butter or olive oil , for frying', 'Topping ideas', 'seasonal berries , such as raspberries, blueberries, strawberries, blackberries', 'banana , peeled and sliced', 'apple or pear , peeled and grated', 'runny honey or maple syrup', 'natural yoghurt']",pancake self raising flour semi skimmed milk egg butter topping idea seasonal berry blackberry banana apple pear maple syrup yoghurt
https://www.jamieoliver.com/recipes/bread-recipes/tear-n-share-bread/,Tear ’n’ share bread,"['500 g strong white bread flour , plus extra for dusting', '1 x 7 g sachet of dried yeast', 'olive oil', '100 g black olives', '1 clove of garlic , optional', '6 sun-dried tomatoes', '1 bunch of fresh basil , (30g)', '100 g Parmesan cheese , or vegetarian alternative', '2 x 125 g balls of mozzarella']",strong bread flour sachet yeast garlic tomato parmesan cheese vegetarian alternative ball mozzarella
https://www.jamieoliver.com/recipes/pasta-recipes/scruffy-aubergine-lasagne/,Scruffy aubergine lasagne,"['3 x 400 g aubergines', '3 onions', '6 cloves of garlic', '1 bunch of fresh sage , (30g)', 'olive oil', '1 teaspoon dried chilli flakes', '1 lemon', '2 x 400 g tins of quality plum tomatoes', '80 g mature Cheddar cheese', '80 g Parmesan cheese', '300 g fresh lasagne sheets', '50 g blanched almonds']",aubergine onion garlic lemon plum tomato mature cheddar cheese parmesan cheese lasagne sheet blanched
https://www.jamieoliver.com/recipes/egg-recipes/rogan-josh-scotch-eggs/,Rogan josh Scotch eggs,"['5 large free-range eggs', '2 x 250 g packets of mixed cooked grains, ideally with punchy flavour', '2 heaped teaspoons rogan josh curry paste', '1 bunch of fresh mint (30g)', '50 g plain flour', '1 naan bread', '2 litres vegetable oil, for frying', 'mango chutney']",egg packet ideally punchy flavour rogan josh curry paste flour naan bread vegetable mango chutney
